Wi-Fi на борту,Удобство онлайн-бронирования,Еда и напитки,Онлайн-посадка,Развлечения на борту,Обслуживание на борту,Место для ног,Регистрация,Услуги на борту,Чистота,Задержка прибытия (мин),Пол,Возраст,Тип путешествия,Тип клиента,Класс обслуживания,Дальность перелёта
56.99164369480601,5.858002419645176,1.8145594366973645,7.42860180922063,1.0213185578708135,5.227203256700516,5.0385778864327895,3.4777638064645635,4.9989939418309515,2.507150160278847,5.636185030052337,Мужчина,Молодой (<30),Личное путешествие,Лояльный клиент,Эконом,Короткая (<1500 км)
40.07472850303501,15.171197964408428,3.2826569826536907,6.1616818482330835,2.7945110001199964,7.5392740714120166,6.918602835441836,5.806832801541416,5.749409785213,3.077434140671868,3.4236700672696463,Мужчина,Молодой (<30),Личное путешествие,Лояльный клиент,Эконом,Средняя (1500–3000 км)
31.99232257912753,8.420028033519111,4.4527570794181415,12.817948898605069,2.4357856453787314,8.903711778222869,9.584626802191838,7.072333758550997,3.109589430799138,3.4503366840317113,7.760559310154863,Мужчина,Молодой (<30),Личное путешествие,Лояльный клиент,Эконом Плюс,Короткая (<1500 км)
52.096792258749275,7.118353269268512,1.829692513882188,4.0597164234378065,4.494803700821056,4.159369156232034,6.822863272494377,4.851091830808872,6.239198253442335,3.767650769949074,4.560468550914453,Мужчина,Молодой (<30),Личное путешествие,Лояльный клиент,Бизнес,Короткая (<1500 км)
41.12301994312406,5.602763042302999,3.2252998886123443,5.383408370372223,2.0695762555238546,7.499611633179878,7.843361164640216,6.842971458737514,10.32299925798084,3.2500986539434016,6.836890331582661,Мужчина,Молодой (<30),Командировка,Нелояльный клиент,Эконом,Короткая (<1500 км)
18.802345631856948,9.816586883713462,8.347618087014155,8.850673616176044,5.101342510202565,5.505765680012363,17.247183887674698,9.268117185097472,4.792051203138767,8.331255180094345,3.9370601350191774,Мужчина,Молодой (<30),Командировка,Нелояльный клиент,Эконом,Средняя (1500–3000 км)
70.46519700077422,4.930870953134407,1.6808559994679249,3.9204101479362476,1.6517591116005719,3.962772915465365,3.4050710777733757,2.425676274544863,1.4106074028110624,1.2918767857576454,4.854902330734305,Мужчина,Молодой (<30),Командировка,Нелояльный клиент,Бизнес,Короткая (<1500 км)
54.38194819585106,8.855892092525696,2.195271035452896,5.942541341515745,3.6562667837161893,6.718325124997274,3.8929051646292026,3.823342081467107,2.8861260695703375,2.258093852216971,5.389288258057497,Мужчина,Молодой (<30),Командировка,Нелояльный клиент,Бизнес,Средняя (1500–3000 км)
10.580585374083814,9.982449401861718,3.1721760975102526,22.228625005885554,4.068719527438085,8.359983984812516,7.709865544152477,9.794462318855699,11.703405443386096,7.561388408135065,4.838338893878748,Мужчина,Молодой (<30),Командировка,Лояльный клиент,Эконом,Короткая (<1500 км)
16.874960399825454,5.465520842200698,1.4970814748771506,34.24807864023346,3.250337882902099,6.333428968886333,3.397444160149221,5.350682076555054,14.664990584707693,3.877467403148468,5.0400075665143875,Мужчина,Молодой (<30),Командировка,Лояльный клиент,Эконом Плюс,Короткая (<1500 км)
22.879098134223664,8.329074332911269,7.99781444340806,12.696861786658229,4.35157311645787,7.3741986265605375,3.604636766617024,7.790766155469813,14.26526906152649,6.02027253276748,4.690435043399576,Мужчина,Молодой (<30),Командировка,Лояльный клиент,Бизнес,Короткая (<1500 км)
17.2245818596265,7.093137844693273,4.632136414148076,14.041620422873196,5.675674393481703,13.271700169455261,4.2428323371933185,9.661456493454988,16.730707600152748,3.5960208292295532,3.8301316356913913,Мужчина,Молодой (<30),Командировка,Лояльный клиент,Бизнес,Средняя (1500–3000 км)
22.704697404422088,6.353728480640187,6.12381188108893,17.184908244557214,4.5042651182789175,11.447891072677962,5.055609881343398,6.478220893641948,14.457570312126398,3.6244581439546413,2.06483856726831,Мужчина,Молодой (<30),Командировка,Лояльный клиент,Бизнес,Длинная (>3000 км)
62.21137858058576,3.376180905109333,1.8664847107009352,10.020974640237645,1.2990619041246427,3.5324426044033017,3.6195103699690505,3.199793320960444,4.882261538023604,2.0237215369656134,3.968189888919672,Мужчина,Средний (30–60),Личное путешествие,Лояльный клиент,Эконом,Короткая (<1500 км)
38.06771229986075,11.012367197604261,3.3645199764433382,6.140345344585318,3.5957423609482926,8.031275425750126,9.811620536918062,4.658926006466483,5.364306202223801,3.1281915874985673,6.82499306170099,Мужчина,Средний (30–60),Личное путешествие,Лояльный клиент,Эконом,Средняя (1500–3000 км)
41.30925058169523,8.15880142351051,2.06163121495504,7.747925043339683,2.2923843240568442,7.221285721350704,7.814539047956775,5.809841410135839,9.340112034850694,2.8609188086721753,5.383310389476523,Мужчина,Средний (30–60),Личное путешествие,Лояльный клиент,Эконом Плюс,Короткая (<1500 км)
26.40759569612278,17.96933944037543,2.430234687194601,18.188809455974173,4.837394814981583,2.392204026365547,14.244558489262332,4.918051616688216,4.4481836021814445,1.925018141324567,2.2386100295293447,Мужчина,Средний (30–60),Личное путешествие,Лояльный клиент,Эконом Плюс,Средняя (1500–3000 км)
39.53111185132937,9.36318815764545,5.170823859134745,6.597156159929481,3.49345191685241,5.059202786457418,9.655428365318706,5.239587204361859,2.630528325834184,7.261533203799248,5.997988169337126,Мужчина,Средний (30–60),Личное путешествие,Лояльный клиент,Бизнес,Короткая (<1500 км)
25.017942680728662,11.672123162517412,4.090001186421297,7.74058690485802,5.306111393787586,7.388475385597378,9.378658330889406,5.332792258590486,9.189095565364573,4.279436934718809,10.604776196526373,Мужчина,Средний (30–60),Командировка,Нелояльный клиент,Эконом,Короткая (<1500 км)
